Group_ID,Domain,Technique_ID,Technique_Name,Sub_Technique_ID,Sub_Technique_Name,Full_Technique_ID,Full_Technique_Name,Use
G0060,Enterprise,T1203,Exploitation for Client Execution,,,T1203,Exploitation for Client Execution,"BRONZE BUTLER has exploited Microsoft Office vulnerabilities CVE-2014-4114, CVE-2018-0802, and CVE-2018-0798 for execution.[4][3]"
G0060,Enterprise,T1083,File and Directory Discovery,,,T1083,File and Directory Discovery,"BRONZE BUTLER has collected a list of files from the victim and uploaded it to its C2 server, and then created a new list of specific files to steal.[2]"
G0060,Enterprise,T1574,Hijack Execution Flow,.002,DLL Side-Loading,T1574.002,Hijack Execution Flow: DLL Side-Loading,BRONZE BUTLER has used legitimate applications to side-load malicious DLLs.[3]
G0060,Enterprise,T1562,Impair Defenses,.001,Disable or Modify Tools,T1562.001,Impair Defenses: Disable or Modify Tools,BRONZE BUTLER has incorporated code into several tools that attempts to terminate anti-virus processes.[3]
G0060,Enterprise,T1070,Indicator Removal,.004,File Deletion,T1070.004,Indicator Removal: File Deletion,The BRONZE BUTLER uploader or malware the uploader uses command to delete the RAR archives after they have been exfiltrated.[2]
G0060,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,"BRONZE BUTLER has used various tools to download files, including DGet (a similar tool to wget).[2]"
G0060,Enterprise,T1036,Masquerading,,,T1036,Masquerading,BRONZE BUTLER has masked executables with document file icons including Word and Adobe PDF.[3]
G0060,Enterprise,T1036,Right-to-Left Override,.002,,T1036.002,Right-to-Left Override,BRONZE BUTLER has used Right-to-Left Override to deceive victims into executing several strains of malware.[3]
G0060,Enterprise,T1036,Match Legitimate Name or Location,.005,,T1036.005,Match Legitimate Name or Location,BRONZE BUTLER has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems.[2]
G0060,Enterprise,T1027,Obfuscated Files or Information,.001,Binary Padding,T1027.001,Obfuscated Files or Information: Binary Padding,"BRONZE BUTLER downloader code has included ""0"" characters at the end of the file to inflate the file size in a likely attempt to evade anti-virus detection.[2][3]"
G0060,Enterprise,T1027,Obfuscated Files or Information,.003,Steganography,T1027.003,Obfuscated Files or Information: Steganography,BRONZE BUTLER has used steganography in multiple operations to conceal malicious payloads.[3]
G0060,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,"BRONZE BUTLER has obtained and used open-source tools such as Mimikatz, gsecdump, and Windows Credential Editor.[4]"
G0060,Enterprise,T1003,OS Credential Dumping,.001,LSASS Memory,T1003.001,OS Credential Dumping: LSASS Memory,BRONZE BUTLER has used various tools (such as Mimikatz and WCE) to perform credential dumping.[2]
G0060,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,BRONZE BUTLER used spearphishing emails with malicious Microsoft Word attachments to infect victims.[4][3]
G0060,Enterprise,T1018,Remote System Discovery,,,T1018,Remote System Discovery,BRONZE BUTLER typically use ping and Net to enumerate systems.[2]
G0060,Enterprise,T1053,Scheduled Task/Job,.002,At,T1053.002,Scheduled Task/Job: At,BRONZE BUTLER has used at to register a scheduled task to execute malware during lateral movement.[2]
G0060,Enterprise,T1053,Scheduled Task/Job,.005,Scheduled Task,T1053.005,Scheduled Task/Job: Scheduled Task,BRONZE BUTLER has used schtasks to register a scheduled task to execute malware during lateral movement.[2]
G0060,Enterprise,T1113,Screen Capture,,,T1113,Screen Capture,BRONZE BUTLER has used a tool to capture screenshots.[2][3]
G0060,Enterprise,T1518,Software Discovery,,,T1518,Software Discovery,BRONZE BUTLER has used tools to enumerate software installed on an infected host.[3]
G0060,Enterprise,T1007,System Service Discovery,,,T1007,System Service Discovery,BRONZE BUTLER has used TROJ_GETVERSION to discover system services.[3]
G0060,Enterprise,T1124,System Time Discovery,,,T1124,System Time Discovery,BRONZE BUTLER has used net time to check the local time on a target system.[2]
G0060,Enterprise,T1080,Taint Shared Content,,,T1080,Taint Shared Content,BRONZE BUTLER has placed malware on file shares and given it the same name as legitimate documents on the share.[2]
G0060,Enterprise,T1550,Use Alternate Authentication Material,.003,Pass the Ticket,T1550.003,Use Alternate Authentication Material: Pass the Ticket,BRONZE BUTLER has created forged Kerberos Ticket Granting Ticket (TGT) and Ticket Granting Service (TGS) tickets to maintain administrative access.[2]
G0060,Enterprise,T1204,User Execution,.002,Malicious File,T1204.002,User Execution: Malicious File,BRONZE BUTLER has attempted to get users to launch malicious Microsoft Word attachments delivered via spearphishing emails.[4][3]
G0060,Enterprise,T1102,Web Service,.001,Dead Drop Resolver,T1102.001,Web Service: Dead Drop Resolver,BRONZE BUTLER's MSGET downloader uses a dead drop resolver to access malicious payloads.[2]
G0008,Enterprise,T1543,Create or Modify System Process,.003,Windows Service,T1543.003,Create or Modify System Process: Windows Service,Carbanak malware installs itself as a service to provide persistence and SYSTEM privileges.[1]
G0008,Enterprise,T1562,Impair Defenses,.004,Disable or Modify System Firewall,T1562.004,Impair Defenses: Disable or Modify System Firewall,Carbanak may use netsh to add local firewall rule exceptions.[7]
G0008,Enterprise,T1036,Masquerading,.004,Masquerade Task or Service,T1036.004,Masquerading: Masquerade Task or Service,Carbanak has copied legitimate service names to use for malicious services.[1]
G0008,Enterprise,T1036,Masquerading,.005,Match Legitimate Name or Location,T1036.005,Masquerading: Match Legitimate Name or Location,"Carbanak has named malware ""svchost.exe,"" which is the name of the Windows shared service host program.[1]"
G0008,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,Carbanak has obtained and used open-source tools such as PsExec and Mimikatz.[1]
G0008,Enterprise,T1219,Remote Access Software,,,T1219,Remote Access Software,Carbanak used legitimate programs such as AmmyyAdmin and Team Viewer for remote interactive C2 to target systems.[7]
G0008,Enterprise,T1218,System Binary Proxy Execution,.011,Rundll32,T1218.011,System Binary Proxy Execution: Rundll32,Carbanak installs VNC server software that executes through rundll32.[1]
G0008,Enterprise,T1078,Valid Accounts,,,T1078,Valid Accounts,Carbanak actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.[1]
G0008,Enterprise,T1102,Web Service,.002,Bidirectional Communication,T1102.002,Web Service: Bidirectional Communication,"Carbanak has used a VBScript named ""ggldr"" that uses Google Apps Script, Sheets, and Forms services for C2.[8]"
G0114,Enterprise,T1087,Account Discovery,.001,Local Account,T1087.001,Account Discovery: Local Account,Chimera has used net user for account discovery.[2]
G0114,Enterprise,T1087,Account Discovery,.002,Domain Account,T1087.002,Account Discovery: Domain Account,Chimera has has used net user /dom and net user Administrator to enumerate domain accounts including administrator accounts.[1][2]
G0114,Enterprise,T1071,Application Layer Protocol,.001,Web Protocols,T1071.001,Application Layer Protocol: Web Protocols,Chimera has used HTTPS for C2 communications.[2]
G0114,Enterprise,T1071,Application Layer Protocol,.004,DNS,T1071.004,Application Layer Protocol: DNS,Chimera has used Cobalt Strike to encapsulate C2 in DNS traffic.[2]
G0114,Enterprise,T1560,Archive Collected Data,.001,Archive via Utility,T1560.001,Archive Collected Data: Archive via Utility,Chimera has used gzip for Linux OS and a modified RAR software to archive data on Windows hosts.[1][2]
G0114,Enterprise,T1119,Automated Collection,,,T1119,Automated Collection,Chimera has used custom DLLs for continuous retrieval of data from memory.[2]
G0114,Enterprise,T1217,Browser Information Discovery,,,T1217,Browser Information Discovery,Chimera has used type \\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery.[2]
G0114,Enterprise,T1110,Brute Force,.003,Password Spraying,T1110.003,Brute Force: Password Spraying,Chimera has used multiple password spraying attacks against victim's remote services to obtain valid user and administrator accounts.[2]
G0114,Enterprise,T1110,Brute Force,.004,Credential Stuffing,T1110.004,Brute Force: Credential Stuffing,Chimera has used credential stuffing against victim's remote services to obtain valid accounts.[2]
G0114,Enterprise,T1059,Command and Scripting Interpreter,.001,PowerShell,T1059.001,Command and Scripting Interpreter: PowerShell,Chimera has used PowerShell scripts to execute malicious payloads and the DSInternals PowerShell module to make use of Active Directory features.[1][2]
G0114,Enterprise,T1059,Command and Scripting Interpreter,.003,Windows Command Shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Chimera has used the Windows Command Shell and batch scripts for execution on compromised hosts.[2]
G0114,Enterprise,T1213,Data from Information Repositories,.002,Sharepoint,T1213.002,Data from Information Repositories: Sharepoint,Chimera has collected documents from the victim's SharePoint.[2]
G0114,Enterprise,T1039,Data from Network Shared Drive,,,T1039,Data from Network Shared Drive,Chimera has collected data of interest from network shares.[2]
G0114,Enterprise,T1074,Data Staged,.001,Local Data Staging,T1074.001,Data Staged: Local Data Staging,Chimera has staged stolen data locally on compromised hosts.[2]
G0114,Enterprise,T1074,Data Staged,.002,Remote Data Staging,T1074.002,Data Staged: Remote Data Staging,Chimera has staged stolen data on designated servers in the target environment.[2]
G0114,Enterprise,T1482,Domain Trust Discovery,,,T1482,Domain Trust Discovery,Chimera has nltest /domain_trusts to identify domain trust relationships.[2]
G0114,Enterprise,T1114,Email Collection,.001,Local Email Collection,T1114.001,Email Collection: Local Email Collection,"Chimera has harvested data from victim's e-mail including through execution of wmic /node: process call create ""cmd /c copy c:\Users\\\backup.pst c:\windows\temp\backup.pst"" copy ""i:\\\My Documents\.pst""copy.[2]"
G0114,Enterprise,T1114,Email Collection,.002,Remote Email Collection,T1114.002,Email Collection: Remote Email Collection,Chimera has harvested data from remote mailboxes including through execution of \\c$\Users\\AppData\Local\Microsoft\Outlook*.ost.[2]
G0114,Enterprise,T1041,Exfiltration Over C2 Channel,,,T1041,Exfiltration Over C2 Channel,Chimera has used Cobalt Strike C2 beacons for data exfiltration.[2]
G0114,Enterprise,T1567,Exfiltration Over Web Service,.002,Exfiltration to Cloud Storage,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,Chimera has exfiltrated stolen data to OneDrive accounts.[2]
G0114,Enterprise,T1133,External Remote Services,,,T1133,External Remote Services,"Chimera has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services.[1][2]"
G0114,Enterprise,T1083,File and Directory Discovery,,,T1083,File and Directory Discovery,Chimera has utilized multiple commands to identify data of interest in file and directory listings.[2]
G0114,Enterprise,T1589,Gather Victim Identity Information,.001,Credentials,T1589.001,Gather Victim Identity Information: Credentials,Chimera has collected credentials for the target organization from previous breaches for use in brute force attacks.[2]
G0114,Enterprise,T1574,Hijack Execution Flow,.002,DLL Side-Loading,T1574.002,Hijack Execution Flow: DLL Side-Loading,Chimera has used side loading to place malicious DLLs in memory.[2]
G0114,Enterprise,T1070,Indicator Removal,.001,Clear Windows Event Logs,T1070.001,Indicator Removal: Clear Windows Event Logs,Chimera has cleared event logs on compromised hosts.[2]
G0114,Enterprise,T1070,Indicator Removal,.004,File Deletion,T1070.004,Indicator Removal: File Deletion,Chimera has performed file deletion to evade detection.[1]
G0114,Enterprise,T1070,Indicator Removal,.006,Timestomp,T1070.006,Indicator Removal: Timestomp,Chimera has used a Windows version of the Linux touch command to modify the date and time stamp on DLLs.[2]
G0114,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,Chimera has remotely copied tools and malware onto targeted systems.[1]
G0114,Enterprise,T1570,Lateral Tool Transfer,,,T1570,Lateral Tool Transfer,Chimera has copied tools between compromised hosts using SMB.[2]
G0114,Enterprise,T1036,Masquerading,.005,Match Legitimate Name or Location,T1036.005,Masquerading: Match Legitimate Name or Location,"Chimera has renamed malware to GoogleUpdate.exe and WinRAR to jucheck.exe, RecordedTV.ms, teredo.tmp, update.exe, and msadcs1.exe.[1]"
G0114,Enterprise,T1556,Modify Authentication Process,.001,Domain Controller Authentication,T1556.001,Modify Authentication Process: Domain Controller Authentication,Chimera's malware has altered the NTLM authentication program on domain controllers to allow Chimera to login without a valid credential.[1]
G0114,Enterprise,T1111,Multi-Factor Authentication Interception,,,T1111,Multi-Factor Authentication Interception,Chimera has registered alternate phone numbers for compromised users to intercept 2FA codes sent via SMS.[2]
G0114,Enterprise,T1106,Native API,,,T1106,Native API,Chimera has used direct Windows system calls by leveraging Dumpert.[1]
G0114,Enterprise,T1046,Network Service Discovery,,,T1046,Network Service Discovery,Chimera has used the get -b  -e  -p command for network scanning as well as a custom Python tool  packed into a Windows executable named Get.exe to scan IP ranges for HTTP.[2]
G0114,Enterprise,T1135,Network Share Discovery,,,T1135,Network Share Discovery,Chimera has used net share and net view to identify network shares of interest.[2]
G0114,Enterprise,T1027,Obfuscated Files or Information,.010,Command Obfuscation,T1027.010,Obfuscated Files or Information: Command Obfuscation,Chimera has encoded PowerShell commands.[1]
G0114,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,"Chimera has obtained and used tools such as BloodHound, Cobalt Strike, Mimikatz, and PsExec.[1][2]"
G0114,Enterprise,T1003,OS Credential Dumping,.003,NTDS,T1003.003,OS Credential Dumping: NTDS,"Chimera has gathered the SYSTEM registry and ntds.dit files from target systems.[1] Chimera specifically has used the NtdsAudit tool to dump the password hashes of domain users via msadcs.exe ""NTDS.dit"" -s ""SYSTEM"" -p RecordedTV_pdmp.txt --users-csv RecordedTV_users.csv and used ntdsutil to copy the Active Directory database.[2]"
G0114,Enterprise,T1201,Password Policy Discovery,,,T1201,Password Policy Discovery,Chimera has used the NtdsAudit utility to collect information related to accounts and passwords.[2]
G0114,Enterprise,T1069,Permission Groups Discovery,.001,Local Groups,T1069.001,Permission Groups Discovery: Local Groups,Chimera has used net localgroup administrators to identify  accounts with local administrative rights.[2]
G0114,Enterprise,T1057,Process Discovery,,,T1057,Process Discovery,Chimera has used tasklist to enumerate processes.[2]
G0114,Enterprise,T1572,Protocol Tunneling,,,T1572,Protocol Tunneling,Chimera has encapsulated Cobalt Strike's C2 protocol in DNS and HTTPS.[2]
G0114,Enterprise,T1012,Query Registry,,,T1012,Query Registry,Chimera has queried Registry keys using reg query \\HKU\\SOFTWARE\Microsoft\Terminal Server Client\Servers and reg query \\HKU\\Software\Microsoft\Windows\CurrentVersion\Internet Settings.[2]
G0114,Enterprise,T1021,Remote Services,.001,Remote Desktop Protocol,T1021.001,Remote Services: Remote Desktop Protocol,Chimera has used RDP to access targeted systems.[1]
G0114,Enterprise,T1021,Remote Services,.002,SMB/Windows Admin Shares,T1021.002,Remote Services: SMB/Windows Admin Shares,Chimera has used Windows admin shares to move laterally.[1][2]
G0114,Enterprise,T1021,Remote Services,.006,Windows Remote Management,T1021.006,Remote Services: Windows Remote Management,Chimera has used WinRM for lateral movement.[2]
G0114,Enterprise,T1018,Remote System Discovery,,,T1018,Remote System Discovery,Chimera has utilized various scans and queries to find domain controllers and remote services in the target environment.[2]
G0114,Enterprise,T1053,Scheduled Task/Job,.005,Scheduled Task,T1053.005,Scheduled Task/Job: Scheduled Task,"Chimera has used scheduled tasks to invoke Cobalt Strike including through batch script schtasks /create /ru ""SYSTEM"" /tn ""update"" /tr ""cmd /c c:\windows\temp\update.bat"" /sc once /f /st and to maintain persistence.[1][2]"
G0114,Enterprise,T1082,System Information Discovery,,,T1082,System Information Discovery,"Chimera has used fsutil fsinfo drives, systeminfo, and vssadmin list shadows for system information including shadow volumes and drive information.[2]"
G0114,Enterprise,T1016,System Network Configuration Discovery,,,T1016,System Network Configuration Discovery,"Chimera has used ipconfig, Ping, and tracert to enumerate the IP address and network environment and settings of the local host.[2]"
G0114,Enterprise,T1049,System Network Connections Discovery,,,T1049,System Network Connections Discovery,Chimera has used netstat -ano | findstr EST to discover network connections.[2]
G0114,Enterprise,T1033,System Owner/User Discovery,,,T1033,System Owner/User Discovery,Chimera has used the quser command to show currently logged on users.[2]
G0114,Enterprise,T1007,System Service Discovery,,,T1007,System Service Discovery,Chimera has used net start and net use for system service discovery.[2]
G0114,Enterprise,T1569,System Services,.002,Service Execution,T1569.002,System Services: Service Execution,Chimera has used PsExec to deploy beacons on compromised systems.[2]
G0114,Enterprise,T1124,System Time Discovery,,,T1124,System Time Discovery,Chimera has used time /t and net time \ip/hostname for system time discovery.[2]
G0114,Enterprise,T1550,Use Alternate Authentication Material,.002,Pass the Hash,T1550.002,Use Alternate Authentication Material: Pass the Hash,Chimera has dumped password hashes for use in pass the hash authentication attacks.[2]
G0114,Enterprise,T1078,Valid Accounts,,,T1078,Valid Accounts,Chimera has used a valid account to maintain persistence via scheduled task.[1]
G0114,Enterprise,T1078,Domain Accounts,.002,,T1078.002,Domain Accounts,Chimera has used compromised domain accounts to gain access to the target environment.[2]
G0114,Enterprise,T1047,Windows Management Instrumentation,,,T1047,Windows Management Instrumentation,Chimera has used WMIC to execute remote commands.[1][2]
G1021,Enterprise,T1059,Command and Scripting Interpreter,.001,PowerShell,T1059.001,Command and Scripting Interpreter: PowerShell,"Cinnamon Tempest has used PowerShell to communicate with C2, download files, and execute reconnaissance commands.[5]"
G1021,Enterprise,T1059,Command and Scripting Interpreter,.003,Windows Command Shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Cinnamon Tempest has executed ransomware using batch scripts deployed via GPO.[1]
G1021,Enterprise,T1059,Command and Scripting Interpreter,.006,Python,T1059.006,Command and Scripting Interpreter: Python,Cinnamon Tempest has used a customized version of the Impacket wmiexec.py module to create renamed output files.[1]
G1021,Enterprise,T1543,Create or Modify System Process,.003,Windows Service,T1543.003,Create or Modify System Process: Windows Service,Cinnamon Tempest has created system services to establish persistence for deployed tooling.[5]
G1021,Enterprise,T1140,Deobfuscate/Decode Files or Information,,,T1140,Deobfuscate/Decode Files or Information,Cinnamon Tempest has used weaponized DLLs to load and decrypt payloads.[5]
G1021,Enterprise,T1484,Domain or Tenant Policy Modification,.001,Group Policy Modification,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification,Cinnamon Tempest has used Group Policy to deploy batch scripts for ransomware deployment.[1]
G1021,Enterprise,T1567,Exfiltration Over Web Service,.002,Exfiltration to Cloud Storage,T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,"Cinnamon Tempest has uploaded captured keystroke logs to the Alibaba Cloud Object Storage Service, Aliyun OSS.[5]"
G1021,Enterprise,T1190,Exploit Public-Facing Application,,,T1190,Exploit Public-Facing Application,"Cinnamon Tempest has exploited multiple unpatched vulnerabilities for initial access including vulnerabilities in Microsoft Exchange, Manage Engine AdSelfService Plus, Confluence, and Log4j.[1][7][5][4]"
G1021,Enterprise,T1657,Financial Theft,,,T1657,Financial Theft,Cinnamon Tempest has maintained leak sites for exfiltrated data in attempt to extort victims into paying a ransom.[1]
G1021,Enterprise,T1574,Hijack Execution Flow,.001,DLL Search Order Hijacking,T1574.001,Hijack Execution Flow: DLL Search Order Hijacking,Cinnamon Tempest has used search order hijacking to launch Cobalt Strike Beacons.[1][4]
G1021,Enterprise,T1574,Hijack Execution Flow,.002,DLL Side-Loading,T1574.002,Hijack Execution Flow: DLL Side-Loading,Cinnamon Tempest has abused legitimate executables to side-load weaponized DLLs.[5]
G1021,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,"Cinnamon Tempest has downloaded files, including Cobalt Strike, to compromised hosts.[5]"
G1021,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,"Cinnamon Tempest has used open-source tools including customized versions of the Iox proxy tool, NPS tunneling tool, Meterpreter, and a keylogger that uploads data to Alibaba cloud storage.[5][4]"
G1021,Enterprise,T1572,Protocol Tunneling,,,T1572,Protocol Tunneling,Cinnamon Tempest has used the Iox and NPS proxy and tunneling tools in combination  create multiple connections through a single tunnel.[5]
G1021,Enterprise,T1090,Proxy,,,T1090,Proxy,Cinnamon Tempest has used a customized version of the Iox port-forwarding and proxy tool.[5]
G1021,Enterprise,T1021,Remote Services,.002,SMB/Windows Admin Shares,T1021.002,Remote Services: SMB/Windows Admin Shares,Cinnamon Tempest has used SMBexec for lateral movement.[5]
G1021,Enterprise,T1080,Taint Shared Content,,,T1080,Taint Shared Content,Cinnamon Tempest has deployed ransomware from a batch file in a network share.[1]
G1021,Enterprise,T1078,Valid Accounts,,,T1078,Valid Accounts,Cinnamon Tempest has used compromised user accounts to deploy payloads and create system services.[5]
G1021,Enterprise,T1078,Domain Accounts,.002,,T1078.002,Domain Accounts,Cinnamon Tempest has obtained highly privileged credentials such as domain administrator in order to deploy malware.[1]
G1021,Enterprise,T1047,Windows Management Instrumentation,,,T1047,Windows Management Instrumentation,Cinnamon Tempest has used Impacket for lateral movement via WMI.[1][5]
G0003,Enterprise,T1557,Adversary-in-the-Middle,.002,ARP Cache Poisoning,T1557.002,Adversary-in-the-Middle: ARP Cache Poisoning,Cleaver has used custom tools to facilitate ARP cache poisoning.[1]
G0003,Enterprise,T1587,Develop Capabilities,.001,Malware,T1587.001,Develop Capabilities: Malware,"Cleaver has created customized tools and payloads for functions including ARP poisoning, encryption, credential dumping, ASP.NET shells, web backdoors, process enumeration, WMI querying, HTTP and SMB communications, network interface sniffing, and keystroke logging.[1]"
G0003,Enterprise,T1585,Establish Accounts,.001,Social Media Accounts,T1585.001,Establish Accounts: Social Media Accounts,"Cleaver has created fake LinkedIn profiles that included profile photos, details, and connections.[2]"
G0003,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,"Cleaver has obtained and used open-source tools such as PsExec, Windows Credential Editor, and Mimikatz.[1]"
G0003,Enterprise,T1003,OS Credential Dumping,.001,LSASS Memory,T1003.001,OS Credential Dumping: LSASS Memory,Cleaver has been known to dump credentials using Mimikatz and Windows Credential Editor.[1]
G0080,Enterprise,T1548,Abuse Elevation Control Mechanism,.002,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,Cobalt Group has bypassed UAC.[4]
G0080,Enterprise,T1071,Application Layer Protocol,.001,Web Protocols,T1071.001,Application Layer Protocol: Web Protocols,Cobalt Group has used HTTPS for C2.[1][3][4]
G0080,Enterprise,T1071,Application Layer Protocol,.004,DNS,T1071.004,Application Layer Protocol: DNS,Cobalt Group has used DNS tunneling for C2.[1][3][4]
G0080,Enterprise,T1547,Boot or Logon Autostart Execution,.001,Registry Run Keys / Startup Folder,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Cobalt Group has used Registry Run keys for persistence. The group has also set a Startup path to launch the PowerShell shell command and download Cobalt Strike.[4]
G0080,Enterprise,T1037,Boot or Logon Initialization Scripts,.001,Logon Script (Windows),T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows),Cobalt Group has added persistence by registering the file name for the next stage malware under HKCU\Environment\UserInitMprLogonScript.[11]
G0080,Enterprise,T1059,Command and Scripting Interpreter,.001,PowerShell,T1059.001,Command and Scripting Interpreter: PowerShell,Cobalt Group has used powershell.exe to download and execute scripts.[1][2][3][4][7][12]
G0080,Enterprise,T1059,Command and Scripting Interpreter,.003,Windows Command Shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Cobalt Group has used a JavaScript backdoor that is capable of launching cmd.exe to execute shell commands.[11] The group has used an exploit toolkit known as Threadkit that launches .bat files.[1][2][4][11][13][12]
G0080,Enterprise,T1059,Command and Scripting Interpreter,.005,Visual Basic,T1059.005,Command and Scripting Interpreter: Visual Basic,Cobalt Group has sent Word OLE compound documents with malicious obfuscated VBA macros that will run upon user execution.[1][2][4][11][13][12]
G0080,Enterprise,T1059,Command and Scripting Interpreter,.007,JavaScript,T1059.007,Command and Scripting Interpreter: JavaScript,Cobalt Group has executed JavaScript scriptlets on the victim's machine.[1][2][4][11][13][12]
G0080,Enterprise,T1543,Create or Modify System Process,.003,Windows Service,T1543.003,Create or Modify System Process: Windows Service,Cobalt Group has created new services to establish persistence.[4]
G0080,Enterprise,T1573,Encrypted Channel,.002,Asymmetric Cryptography,T1573.002,Encrypted Channel: Asymmetric Cryptography,Cobalt Group has used the Plink utility to create SSH tunnels.[4]
G0080,Enterprise,T1203,Exploitation for Client Execution,,,T1203,Exploitation for Client Execution,"Cobalt Group had exploited multiple vulnerabilities for execution, including Microsoft’s Equation Editor (CVE-2017-11882), an Internet Explorer vulnerability (CVE-2018-8174), CVE-2017-8570, CVE-2017-0199, and CVE-2017-8759.[1][2][3][5][6][7][10][12]"
G0080,Enterprise,T1068,Exploitation for Privilege Escalation,,,T1068,Exploitation for Privilege Escalation,Cobalt Group has used exploits to increase their levels of rights and privileges.[4]
G0080,Enterprise,T1070,Indicator Removal,.004,File Deletion,T1070.004,Indicator Removal: File Deletion,Cobalt Group deleted the DLL dropper from the victim’s machine to cover their tracks.[1]
G0080,Enterprise,T1105,Ingress Tool Transfer,,,T1105,Ingress Tool Transfer,Cobalt Group has used public sites such as github.com and sendspace.com to upload files and then download them to victim computers.[2][3] The group's JavaScript backdoor is also capable of downloading files.[11]
G0080,Enterprise,T1559,Inter-Process Communication,.002,Dynamic Data Exchange,T1559.002,Inter-Process Communication: Dynamic Data Exchange,Cobalt Group has sent malicious Word OLE compound documents to victims.[1]
G0080,Enterprise,T1046,Network Service Discovery,,,T1046,Network Service Discovery,Cobalt Group leveraged an open-source tool called SoftPerfect Network Scanner to perform network scanning.[2][3][4]
G0080,Enterprise,T1027,Obfuscated Files or Information,.010,Command Obfuscation,T1027.010,Obfuscated Files or Information: Command Obfuscation,"Cobalt Group obfuscated several scriptlets and code used on the victim’s machine, including through use of XOR and RC4.[1][11]"
G0080,Enterprise,T1588,Obtain Capabilities,.002,Tool,T1588.002,Obtain Capabilities: Tool,"Cobalt Group has obtained and used a variety of tools including Mimikatz, PsExec, Cobalt Strike, and SDelete.[3]"
G0080,Enterprise,T1566,Phishing,.001,Spearphishing Attachment,T1566.001,Phishing: Spearphishing Attachment,"Cobalt Group has sent spearphishing emails with various attachment types to corporate and personal email accounts of victim organizations. Attachment types have included .rtf, .doc, .xls, archives containing LNK files, and password protected archives containing .exe and .scr executables.[1][2][3][4][5][6][13][12]"
G0080,Enterprise,T1566,Phishing,.002,Spearphishing Link,T1566.002,Phishing: Spearphishing Link,Cobalt Group has sent emails with URLs pointing to malicious documents.[1][9]
G0080,Enterprise,T1055,Process Injection,,,T1055,Process Injection,Cobalt Group has injected code into trusted processes.[4]
G0080,Enterprise,T1572,Protocol Tunneling,,,T1572,Protocol Tunneling,Cobalt Group has used the Plink utility to create SSH tunnels.[1][3][4]
G0080,Enterprise,T1219,Remote Access Software,,,T1219,Remote Access Software,"Cobalt Group used the Ammyy Admin tool as well as TeamViewer for remote access, including to preserve remote access if a Cobalt Strike module was lost.[2][3][4]"
G0080,Enterprise,T1021,Remote Services,.001,Remote Desktop Protocol,T1021.001,Remote Services: Remote Desktop Protocol,Cobalt Group has used Remote Desktop Protocol to conduct lateral movement.[4]
G0080,Enterprise,T1053,Scheduled Task/Job,.005,Scheduled Task,T1053.005,Scheduled Task/Job: Scheduled Task,Cobalt Group has created Windows tasks to establish persistence.[4]
G0080,Enterprise,T1518,Software Discovery,.001,Security Software Discovery,T1518.001,Software Discovery: Security Software Discovery,Cobalt Group used a JavaScript backdoor that is capable of collecting a list of the security solutions installed on the victim's machine.[11]
G0080,Enterprise,T1195,Supply Chain Compromise,.002,Compromise Software Supply Chain,T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Cobalt Group has compromised legitimate web browser updates to deliver a backdoor. [14]
G0080,Enterprise,T1218,System Binary Proxy Execution,.003,CMSTP,T1218.003,System Binary Proxy Execution: CMSTP,Cobalt Group has used the command cmstp.exe /s /ns C:\Users\ADMINI~W\AppData\Local\Temp\XKNqbpzl.txt to bypass AppLocker and launch a malicious script.[1][11][13]
G0080,Enterprise,T1218,System Binary Proxy Execution,.008,Odbcconf,T1218.008,System Binary Proxy Execution: Odbcconf,Cobalt Group has used odbcconf to proxy the execution of malicious DLL files.[12]
